,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
69,DELL,Windows,DDR4,16,AMD,NVIDIA,1,15.6,SSD,512,11.170308387425273
70,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180713811063283
71,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714239975170337
72,Infinix,Windows,Others,8,Intel,Intel,1,14.0,SSD,256,10.042901608318806
73,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.757732653438401
74,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.839404425545462
75,Infinix,Windows,Others,8,Intel,Others,1,14.0,SSD,256,10.274775208842707
76,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.596434713093407
77,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.563775741214291
78,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,11.35031241339605
79,APPLE,Mac,Others,16,Others,Others,1,14.0,SSD,512,12.11171800904888
80,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913321397334
81,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.36199791859654
82,MSI,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.60816291485707
83,Others,Windows,Others,4,Others,Others,1,15.6,SSD,128,10.403990075979044
84,Infinix,Windows,Others,16,Intel,Others,1,15.6,SSD,512,10.545130890228958
85,APPLE,Mac,Others,8,Others,Others,1,15.6,SSD,512,11.849340557101582
86,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848075889779
87,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975511371747
88,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,SSD,256,10.308685958415747
89,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,9.877759403963397
90,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.518429918794682
91,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.204918228723848
92,ASUS,Windows,DDR4,8,AMD,Others,1,15.6,HDD,1024,10.87787736679393
93,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.642826285701982
94,DELL,Windows,DDR4,8,Intel,Intel,1,15.6,SSD,256,10.323184242891017
95,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.462846164547514
96,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,9.877759403963397
97,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,SSD,256,10.308685958415747
98,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,11.396301757033692
99,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.518429918794682
100,MSI,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,11.097288801540568
101,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.419061883324323
102,HP,Windows,DDR4,16,Intel,Others,1,14.0,SSD,512,11.0184815912866
103,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.596434713093407
104,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.757732653438401
105,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.001966498981226
106,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,1024,11.65260914341328
107,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.596434713093407
108,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,1024,11.695180352875195
109,Infinix,Windows,Others,8,Intel,Others,1,15.6,SSD,512,10.66874607044333
110,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,11.407476056472662
111,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.563775741214291
112,MSI,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.28966940732742
