,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
78,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,84991
79,APPLE,Mac,Others,16,Others,Others,1,14.0,SSD,512,181991
80,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
81,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
82,MSI,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,109991
83,Others,Windows,Others,4,Others,Others,1,15.6,SSD,128,32990
84,Infinix,Windows,Others,16,Intel,Others,1,15.6,SSD,512,37991
85,APPLE,Mac,Others,8,Others,Others,1,15.6,SSD,512,139991
86,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
87,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
88,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,SSD,256,29991
89,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,19491
90,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
91,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,73490
92,ASUS,Windows,DDR4,8,AMD,Others,1,15.6,HDD,1024,52990
93,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,41890
94,DELL,Windows,DDR4,8,Intel,Intel,1,15.6,SSD,256,30429
95,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,34990
96,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,19491
97,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,SSD,256,29991
98,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,88991
99,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
100,MSI,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,65991
101,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,33491
102,HP,Windows,DDR4,16,Intel,Others,1,14.0,SSD,512,60990
103,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
104,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,46991
105,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,59991
106,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,1024,114990
107,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
108,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,1024,119991
109,Infinix,Windows,Others,8,Intel,Others,1,15.6,SSD,512,42990
110,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,89991
111,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
112,MSI,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,79990
113,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,1024,70990
114,Lenovo,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,33901
115,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
116,Others,Windows,DDR4,8,Intel,Intel,1,14.0,SSD,512,59991
117,Infinix,Windows,Others,16,Intel,Others,1,15.6,SSD,512,52990
118,APPLE,Mac,DDR4,16,Others,Others,1,14.0,SSD,512,124991
119,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
120,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,31991
121,acer,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,66990
122,DELL,Windows,DDR4,16,AMD,NVIDIA,1,15.6,SSD,512,89081
123,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
124,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,512,104991
125,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,53491
126,ASUS,Windows,Others,8,Intel,Others,1,15.6,SSD,256,45991
127,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
128,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,45991
129,MSI,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,51990
130,HP,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,75990
131,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
132,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,256,36990
133,HP,Windows,DDR4,16,Intel,Others,1,14.0,SSD,512,78801
134,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,29390
135,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
136,Infinix,Windows,Others,8,Intel,Others,1,14.0,SSD,256,30990
137,Lenovo,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,62491
