,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
74,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.839404
75,Infinix,Windows,Others,8,Intel,Others,1,14.0,SSD,256,10.274741
76,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
77,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
78,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,11.350301
79,APPLE,Mac,Others,16,Others,Others,1,14.0,SSD,512,12.111712
80,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
81,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
82,MSI,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.608154
83,Others,Windows,Others,4,Others,Others,1,15.6,SSD,128,10.40399
84,Infinix,Windows,Others,16,Intel,Others,1,15.6,SSD,512,10.545105
85,APPLE,Mac,Others,8,Others,Others,1,15.6,SSD,512,11.849334
86,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
87,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
88,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,SSD,256,10.308653
89,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,9.877708
90,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
91,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.204918
92,ASUS,Windows,DDR4,8,AMD,Others,1,15.6,HDD,1024,10.877877
93,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.642826
94,DELL,Windows,DDR4,8,Intel,Intel,1,15.6,SSD,256,10.323152
95,acer,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.462846
96,Lenovo,Others,DDR4,4,Intel,Others,1,15.6,SSD,128,9.877708
97,Lenovo,Windows,DDR4,4,Intel,Others,1,15.6,SSD,256,10.308653
98,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,11.396291
99,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
100,MSI,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,11.097274
101,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.419032
102,HP,Windows,DDR4,16,Intel,Others,1,14.0,SSD,512,11.018481
103,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
104,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.757711
105,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.00195
106,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,1024,11.652609
107,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
108,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,1024,11.695172
109,Infinix,Windows,Others,8,Intel,Others,1,15.6,SSD,512,10.668746
110,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,11.407465
111,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
112,MSI,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.289669
113,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,1024,11.170308
114,Lenovo,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.4312
115,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
116,Others,Windows,DDR4,8,Intel,Intel,1,14.0,SSD,512,11.00195
117,Infinix,Windows,Others,16,Intel,Others,1,15.6,SSD,512,10.877877
118,APPLE,Mac,DDR4,16,Others,Others,1,14.0,SSD,512,11.735997
119,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
120,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,256,10.37321
121,acer,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.112313
122,DELL,Windows,DDR4,16,AMD,NVIDIA,1,15.6,SSD,512,11.397312
123,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
124,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,512,11.56163
125,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.887269
126,ASUS,Windows,Others,8,Intel,Others,1,15.6,SSD,256,10.736201
127,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
128,ASUS,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.736201
129,MSI,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.858826
130,HP,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.23837
131,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
132,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,256,10.51843
